CustomerID,Age,Subscription_Length_Months,Watch_Time_Hours,Number_of_Logins,Preferred_Content_Type,Membership_Type,Payment_Method,Payment_Issues,Number_of_Complaints,Resolution_Time_Days,Churn
1,56,35,62.57926639796047,73,TV Shows,Basic,PayPal,0,7,8,0
2,69,15,159.71441533882827,1,Sports,Basic,Credit Card,0,7,21,0
3,46,25,41.11954707674489,36,Movies,Premium,PayPal,0,5,13,1
4,32,28,183.96173538841856,35,Movies,Standard,Credit Card,0,0,27,0
5,60,10,87.78284791329057,66,Movies,Standard,Bank Transfer,0,7,18,0
6,25,17,21.972597704593436,63,Sports,Standard,Credit Card,1,7,5,0
7,38,22,164.07098548333477,23,TV Shows,Standard,PayPal,0,1,6,0
8,56,26,77.83438819248558,9,Documentaries,Basic,Credit Card,0,3,17,0
9,36,25,107.66734285998729,34,Documentaries,Basic,Bank Transfer,1,1,11,0
10,40,17,26.899347160187737,46,Movies,Premium,PayPal,0,3,20,0
11,28,13,5.503882894771565,78,Movies,Standard,Bank Transfer,1,9,16,0
12,28,20,129.40711512969304,4,Sports,Basic,Bank Transfer,0,6,9,0
13,41,25,105.45915821507766,30,TV Shows,Basic,PayPal,0,8,2,0
14,53,4,120.74002097901369,95,Documentaries,Premium,Bank Transfer,0,7,5,0
15,57,10,159.78005082420069,75,Sports,Premium,Bank Transfer,0,8,1,0
16,41,3,131.08815311745772,99,Documentaries,Premium,Credit Card,0,7,4,0
17,20,18,39.08082135133855,72,Movies,Basic,Bank Transfer,0,1,4,0
18,39,22,75.35064122656696,3,Documentaries,Basic,Bank Transfer,0,6,22,1
19,19,34,181.64876543361328,14,TV Shows,Premium,Bank Transfer,0,1,26,1
20,41,8,155.1392165490774,60,TV Shows,Standard,Bank Transfer,0,1,25,0
21,61,19,113.54422629765986,77,Movies,Premium,PayPal,0,3,3,0
22,47,6,54.8507745728081,45,TV Shows,Premium,Credit Card,0,0,9,0
23,55,26,63.901797857785034,96,TV Shows,Premium,Bank Transfer,0,4,22,1
24,19,34,147.73182317919873,34,Sports,Premium,Bank Transfer,1,5,23,0
25,38,6,170.9789808662903,45,Documentaries,Basic,PayPal,0,8,12,0
26,50,33,135.92781055846982,61,Movies,Standard,Bank Transfer,1,9,10,0
27,29,22,162.85834527484616,83,Movies,Premium,PayPal,0,7,2,0
28,39,21,154.49794636407916,16,Movies,Standard,Credit Card,0,1,11,0
29,61,6,34.192273751606756,66,Movies,Standard,Credit Card,0,0,10,0
30,42,6,87.66923851809389,40,Movies,Standard,Bank Transfer,0,1,22,0
31,66,4,34.83184116156972,17,TV Shows,Premium,Bank Transfer,0,6,6,0
32,44,30,50.870939036387036,34,Sports,Basic,Bank Transfer,0,3,18,1
33,59,11,174.50562680695523,16,Movies,Premium,PayPal,0,9,2,0
34,45,30,97.21393329847052,60,Sports,Standard,Bank Transfer,0,4,2,0
35,33,31,109.39482985931886,66,Sports,Standard,Bank Transfer,0,6,10,0
36,32,24,39.79696321941557,66,TV Shows,Basic,Credit Card,0,2,16,0
37,64,9,65.89299827951523,90,Movies,Premium,Bank Transfer,0,9,12,0
38,68,3,49.89800284343464,13,TV Shows,Standard,Credit Card,0,1,1,0
39,61,31,45.20630208109315,56,Movies,Basic,Bank Transfer,0,6,21,0
40,69,24,129.40235469661417,31,TV Shows,Standard,Credit Card,0,4,8,0
41,20,31,55.09235029091439,34,Sports,Basic,Bank Transfer,0,0,16,0
42,54,6,128.2430197739816,39,Movies,Basic,Credit Card,0,0,18,0
43,68,2,16.398649751168012,67,Documentaries,Premium,PayPal,0,8,13,0
44,24,20,32.64600673778486,8,Sports,Standard,Credit Card,0,4,15,0
45,38,28,58.53534953002445,87,Documentaries,Premium,Credit Card,0,0,21,0
46,26,11,121.42414879465987,78,Sports,Standard,Credit Card,0,6,12,0
47,56,4,136.78904279203832,55,TV Shows,Premium,Bank Transfer,1,8,8,0
48,35,15,91.32980852200778,27,Movies,Standard,Bank Transfer,1,0,10,0
49,21,6,91.92922834255965,93,Sports,Premium,Bank Transfer,0,9,14,0
50,42,30,146.28078602273052,53,TV Shows,Basic,PayPal,0,3,5,0
51,31,2,8.085112894288576,39,Movies,Standard,PayPal,0,2,18,0
52,67,15,71.51255477247301,65,Movies,Standard,Credit Card,0,4,19,1
53,26,11,164.64787613825038,17,Sports,Basic,PayPal,0,6,15,0
54,43,8,122.62778499160758,30,Movies,Premium,Credit Card,0,7,6,0
55,19,26,70.75929088730697,53,Sports,Standard,Credit Card,1,1,27,0
56,37,5,181.5773345042864,13,Movies,Standard,Credit Card,0,6,11,0
57,45,6,155.6614318526296,21,Documentaries,Premium,PayPal,0,0,21,0
58,64,26,56.65461221116302,19,TV Shows,Basic,Bank Transfer,0,6,11,0
59,24,4,130.8315183175148,53,Documentaries,Premium,PayPal,0,7,20,0
60,61,19,121.17139199684655,19,Sports,Premium,Credit Card,0,1,20,0
61,25,20,83.23164323760162,57,Documentaries,Premium,Credit Card,1,8,21,0
62,64,33,76.55643544493613,25,Sports,Standard,PayPal,0,0,18,0
63,52,20,71.99429258126227,86,Movies,Basic,Credit Card,0,5,25,0
